"Data file recorded 2014/2/3  17:54:20"
"%  Right Stride Frequency         = 5.0"
"%  Left Stride Frequency         = 5.0"
"%  Phase (Fractional)         = 16384.0"
"%  Experiment.py "
"%  Motor Gains    = [1800, 20, 100, 0, 0, 1800, 20, 100, 0, 0]
"% Columns: "
"% time | Right Leg Pos | Left Leg Pos | Commanded Right Leg Pos | Commanded Left Leg Pos | DCR | DCL | GyroX | GryoY | GryoZ | AX | AY | AZ | RBEMF | LBEMF | VBatt "
106040,3011584,3090612,3013314,3095234,-262,2048,-1881,6211,-2134,-783,1943,3575,58,49,864
107041,3012048,3090964,3013641,3095561,-147,1862,-1998,6159,-2141,-133,2873,1995,52,37,860
108042,3012528,3091292,3013968,3095888,-315,2011,-2130,6129,-2220,1360,3248,2100,52,37,860
109043,3013040,3091624,3014295,3096215,-596,1984,-2252,6195,-2277,1508,2691,2548,50,47,864
110051,3013456,3092000,3014656,3096576,-20,1702,-2283,6247,-2240,813,1651,2049,50,47,864
111044,3013852,3092392,3014983,3096903,75,1575,-2175,6387,-2246,970,865,2133,61,35,863
112046,3014304,3092780,3015310,3097230,-330,1573,-1940,6459,-2326,920,-803,1048,61,35,863
113047,3014732,3093184,3015637,3097557,-225,1439,-1517,6182,-2306,317,-2461,966,58,43,868
114048,3015128,3093604,3015964,3097884,-55,1298,-895,5768,-2157,-3519,-3080,2286,58,43,868
115049,3015452,3093996,3016291,3098211,396,1445,-153,5172,-2041,-3987,-4888,2164,46,47,868
116050,3015656,3094452,3016618,3098538,1200,988,793,4636,-1896,-4081,-7556,4558,46,47,868
117050,3016024,3094880,3016945,3098865,157,1119,1695,4013,-1630,-5370,-6660,4504,52,56,871
118052,3016424,3095288,3017272,3099192,-75,1208,2344,3271,-1472,-7118,-3805,4818,52,56,871
119053,3016792,3095676,3017599,3099519,107,1306,2800,2213,-1418,-8139,-2099,6136,56,50,867
120053,3017060,3096040,3017926,3099846,758,1440,3026,968,-1425,-10745,-686,7639,56,50,867
121055,3017332,3096424,3018253,3100173,757,1290,3077,-222,-1555,-10218,794,6794,47,48,872
122056,3017564,3096836,3018580,3100500,1049,1078,3093,-1368,-1890,-6285,1795,5517,47,48,872
123057,3017764,3097224,3018907,3100827,1305,1201,3181,-2331,-2255,-6077,986,5166,24,53,867
124058,3017980,3097608,3019234,3101154,1254,1202,3284,-3341,-2448,-6845,-199,3400,24,53,867
125058,3018164,3098036,3019561,3101481,1517,882,3438,-4353,-2460,-6906,-1456,2378,30,53,866
126060,3018376,3098452,3019888,3101808,1393,918,3695,-5413,-2308,-7859,-2987,782,30,53,866
127061,3018576,3098904,3020215,3102135,1524,638,4006,-6423,-2104,-7938,-3736,-32,26,45,865
128061,3018784,3099308,3020542,3102462,1526,905,4194,-7320,-1950,-7048,-2973,-1121,26,45,865
129062,3019020,3099692,3020869,3102789,1391,1004,4123,-7933,-1968,-4751,768,-615,24,43,866
130063,3019256,3100084,3021196,3103116,1431,926,3826,-8225,-2103,-1595,3523,1560,24,43,866
131065,3019504,3100432,3021523,3103443,1391,1192,3383,-8101,-2357,863,4489,4290,37,36,865
132065,3019740,3100760,3021850,3103770,1506,1316,2883,-7660,-2581,3203,5028,5952,37,36,865
133066,3019992,3101076,3022177,3104097,1439,1396,2445,-6799,-2709,5480,5997,7439,29,44,865
134067,3020240,3101384,3022504,3104424,1498,1454,2073,-5794,-2808,6353,5347,7370,29,44,865
135069,3020524,3101692,3022831,3104751,1292,1463,1737,-4999,-2939,6624,4356,5770,29,40,863
